DOCUMENT ID,PARTY TYPE,NAME,school,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2025081400354001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,14,637,WEST 125 STREET,DEED,07/25/2025,0,Manhattan
2025081400354001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,56,651,WEST 125 STREET,DEED,07/25/2025,0,Manhattan
2025081400354001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,61,663,WEST 125 STREET,DEED,07/25/2025,0,Manhattan
2025080100459001,1,THE NEW SCHOOL FOR SOCIAL RESEARCH,The New School,1,575,61,21,WEST 11TH STREET,DEED,07/30/2025,10300000,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1108,550,1ST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1110,550,1ST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,80,522,1 AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1028,550,1ST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,108,540,1 AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1071,550,1ST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1054,550,1ST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,939,28,577,FIRST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1109,550,1ST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1072,550,1ST AVENUE,,,,Manhattan
2025081500401001,2,NEW YORK UNIVERSITY,New York University,1,962,1029,550,1ST AVENUE,,,,Manhattan
2025081400354001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,14,637,WEST 125 STREET,DEED,07/25/2025,0,Manhattan
2025081400354001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,56,651,WEST 125 STREET,DEED,07/25/2025,0,Manhattan
2025081400354001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,61,663,WEST 125 STREET,DEED,07/25/2025,0,Manhattan
2025080100459001,1,THE NEW SCHOOL,The New School,1,575,61,21,WEST 11TH STREET,DEED,07/30/2025,10300000,Manhattan
2025081400354002,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,38,602,WEST 132 STREET,DEED,07/25/2025,0,Manhattan
2025081400354002,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,29,3259,BROADWAY,DEED,07/25/2025,0,Manhattan
2025081400354002,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,26,605,WEST 131 STREET,DEED,07/25/2025,0,Manhattan
2025081400354002,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,24,609,WEST 131 STREET,DEED,07/25/2025,0,Manhattan
2025081400354002,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,38,602,WEST 132 STREET,DEED,07/25/2025,0,Manhattan
2025081400354002,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,29,3259,BROADWAY,DEED,07/25/2025,0,Manhattan
2025081400354002,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,26,605,WEST 131 STREET,DEED,07/25/2025,0,Manhattan
2025081400354002,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1998,24,609,WEST 131 STREET,DEED,07/25/2025,0,Manhattan
2025072200658002,1,NEW YORK UNIVERSITY,New York University,1,1373,1334,425,MAIN STREET,,,,Manhattan
2025072500004001,1,NEW YORK UNIVERSITY,New York University,1,1373,1381,425,MAIN STREET,DEED,07/21/2025,1280000,Manhattan
