DOCUMENT ID,RECORD TYPE,PARTY TYPE,NAME,ADDRESS 1,ADDRESS 2,COUNTRY,CITY,STATE,ZIP,GOOD THROUGH DATE,owner_group,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2025102800363003,P,2,NEW YORK UNIVERSITY FEDERAL CREDIT UNION,"726 BROADWAY, SUITE 110",,US,NEW YORK,NY,10003,2025 Oct 31 12:00:00 AM,New York University,3,351,1007,411,CLINTON STREET,,,,Brooklyn
2025100600212001,P,2,NEW YORK UNIVERSITY FEDERAL CREDIT UNION,"726 BROADWAY, SUITE 110",,US,NEW YORK,NY,10003,2025 Oct 31 12:00:00 AM,New York University,3,1100,1011,425,14 STREET,,,,Brooklyn
2025100500058001,P,1,"KIM, IL NYU",35-20 147TH STREET,UNIT 9B,US,FLUSHING,NY,11354,2025 Oct 31 12:00:00 AM,New York University,4,5004,1048,35-20,147TH STREET,DEED,09/29/2025,0,Queens
2025100200921007,P,2,NYU LANGONE HOSPITALS,ONE PARK AVENUE,5TH FLOOR,US,NEW YORK,NY,10016,2025 Oct 31 12:00:00 AM,New York University,1,940,12,321,EAST 34 STREET,,,,Manhattan
2025100200921010,P,2,NEW YORK UNIVERSITY ON BEHALF OF ITS NYU GROSSMAN,SCHOOL OF MEDICINE,"ONE PARK AVENUE, 5TH FLOOR",US,NEW YORK,NY,99999,2025 Oct 31 12:00:00 AM,New York University,1,940,12,321,EAST 34 STREET,,,,Manhattan
2025101601018001,P,2,NEW YORK UNIVERSITY,,,,,,,2025 Oct 31 12:00:00 AM,New York University,1,100,1121,150,NASSAU STREET,,,,Manhattan
2025090900856001,P,1,NEW YORK UNIVERSITY FEDERAL CREDIT UNION,726 BROADWAY 110,,US,NEW YORK,AZ,10003,2025 Sep 30 12:00:00 AM,New York University,4,1155,59,32-43,53RD PLACE,,,,Queens
2025081400241004,P,1,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Sep 30 12:00:00 AM,New York University,1,1373,1334,425,MAIN STREET,,,,Manhattan
2025081400241003,P,2,NEW YORK UNIVERSITY,,,,,,,2025 Sep 30 12:00:00 AM,New York University,1,1373,1334,425,MAIN STREET,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1054,550,1ST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1028,550,1ST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,966,1,606,FIRST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1108,550,1ST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,80,522,1 AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1109,550,1ST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1071,550,1ST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,108,540,1 AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1072,550,1ST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1029,550,1ST AVENUE,,,,Manhattan
2025081500401002,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1110,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1108,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1110,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,80,522,1 AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1028,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,108,540,1 AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1071,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1054,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,939,28,577,FIRST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1109,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1072,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,1,962,1029,550,1ST AVENUE,,,,Manhattan
2025082000284001,P,1,NYU LANGONE HOSPITALS,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Aug 31 12:00:00 AM,New York University,3,836,19,150,56 STREET,,,,Brooklyn
2025080100459001,P,1,THE NEW SCHOOL FOR SOCIAL RESEARCH,66 WEST 12TH STREET,,US,NEW YORK,NY,10011,2025 Aug 31 12:00:00 AM,The New School,1,575,61,21,WEST 11TH STREET,DEED,07/30/2025,10300000,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1108,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1110,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,80,522,1 AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1028,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,108,540,1 AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1071,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1054,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,939,28,577,FIRST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1109,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1072,550,1ST AVENUE,,,,Manhattan
2025081500401001,P,2,NEW YORK UNIVERSITY,70 WASHIGNTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Aug 31 12:00:00 AM,New York University,1,962,1029,550,1ST AVENUE,,,,Manhattan
2025080100459001,P,1,THE NEW SCHOOL,66 WEST 12TH STREET,,US,NEW YORK,NY,10011,2025 Aug 31 12:00:00 AM,The New School,1,575,61,21,WEST 11TH STREET,DEED,07/30/2025,10300000,Manhattan
