school,boro_label,BLOCK,LOT,STREET NUMBER,STREET NAME,NAME,PARTY TYPE,DOC. TYPE,DOC. DATE,is_new
Columbia University,Bronx,3148,23,,,TRUSTEES OF COLUMBIA UNIVERSITY CITY OF NEW YORK,2,,,True
Columbia University,Bronx,2315,1,2604,3 AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,,,True
Columbia University,Bronx,5813,140,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,,,True
Columbia University,Bronx,5870,572,435,WEST 259 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY - CITY OF NY,2,,,True
New York University,Manhattan,1373,1401,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,11/07/2013,True
Columbia University,Manhattan,1997,21,615,WEST 130TH ST.,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,943,1016,330,EAST 38TH   STREET,THE TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,2,DEED,12/29/2006,True
New York University,Manhattan,1373,1472,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,1030,29,200,CENTRAL PARK SOUTH,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,,,True
New York University,Manhattan,962,8,433,EAST   30 STREET,NEW YORK UNIVERSITY,1,,,True
Fordham University,Manhattan,1132,35,49-55,AMSTERDAM AVENUE,FORDHAM UNIVERSITY,1,,,True
New York University,Manhattan,939,37,,,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,546,33,,,NEW YORK UNIVERSITY,1,DEED,,True
New York University,Manhattan,532,8,,,NEW YORK UNIVERSITY,1,,,False
New York University,Manhattan,532,11,,,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,532,9,,,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,532,10,,,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,127,18,44,WEST BROADWAY,COLUMBIA UNIVERSITYTR./,1,,,True
Columbia University,Manhattan,1875,1001,2700,BROADWAY,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,DEED,10/06/2004,True
New York University,Manhattan,1361,7,10,MITCHELL PLACE,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,33,1,,,COLUMBIA UNIVERSITYNYC,2,DEED,,True
New York University,Manhattan,1373,1477,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,940,20,,,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1885,7,,,COLUMBIA UNIVERSITYIN THE CITY OF NEW YORK,1,,,False
Columbia University,Manhattan,1885,57,,,COLUMBIA UNIVERSITYIN THE CITY OF NEW YORK,1,,,False
Columbia University,Manhattan,127,1,,,COLUMBIA UNIV CNY TR,2,,,True
Columbia University,Queens,255,16,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,1,,,True
New York University,Manhattan,939,35,,,NEW YORK UNIVERSITY,2,DEED,,True
Columbia University,Manhattan,1833,2027,372,CENTRAL PARK WEST,COLUMBIA UNIV IN NYCTRT,2,,,True
New York University,Manhattan,1373,1368,425,MAIN STREET,NEW YORK UNIVERSITY,2,DEED,06/21/2007,True
New York University,Bronx,3225,48,,,NEW YORK UNIVERSITY,2,DEED,07/30/1973,True
New York University,Bronx,3222,62,,,NEW YORK UNIVERSITY,2,DEED,07/30/1973,True
Columbia University,Manhattan,1885,6,,,COLUMBIA UNIVERSITYIN THE CITY OF NEW YORK TRUSTE,2,DEED,09/04/1997,True
Columbia University,Manhattan,1070,1,,,COLUMBIA UNIV NYC TR,2,,,True
Columbia University,Manhattan,1070,50,,,COLUMBIA UNIV NYC TR,2,,,True
Columbia University,Manhattan,1070,54,,,COLUMBIA UNIV NYC TR,2,,,True
New York University,Bronx,3225,50,,,NEW YORK UNIVERSITY,2,DEED,04/14/1966,True
New York University,Bronx,3225,58,,,NEW YORK UNIVERSITY,2,DEED,04/14/1966,True
New York University,Bronx,3225,60,,,NEW YORK UNIVERSITY,2,DEED,04/14/1966,True
Columbia University,Manhattan,753,24,,,COLUMBIA UNIV CITY NY TR,2,,,True
Columbia University,Queens,471,705,,,COLUMBIA UNIVERSITY TRUSTEES OF,1,,,True
Columbia University,Queens,259,14,,,COLUMBIA UNIVERSITY TRUSTEES OF,1,,,True
Columbia University,Queens,471,703,,,COLUMBIA UNIVERSITY TRUSTEES OF,1,,,True
Columbia University,Manhattan,1116,1200,,,COLUMBIA UNIVERSITYCITY/NEW YORK TRUSTEES,2,,,True
Columbia University,Queens,10517,16,,,COLUMBIA UNIVERSITY,1,,,True
New York University,Manhattan,1599,1320,40,WEST 116 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Queens,4300,1,,,NEW YORK UNIVERSITY TRUST,2,,,True
New York University,Queens,4271,1,,,NEW YORK UNIVERSITY TRUST,2,,,True
Columbia University,Manhattan,1312,40,968,3 AVENUE,TRUSTEES COLUMBIA UNIV,2,DEED,03/27/1992,True
The New School,Manhattan,558,39,,,NEW SCHOOL FOR SOCIAL RS,2,,,True
The New School,Manhattan,558,33,,,NEW SCHOOL FOR SOCIAL RS,2,,,True
The New School,Manhattan,558,32,96,3 AVENUE,NEW SCHOOL FOR SOCIAL RS,2,,,True
The New School,Manhattan,558,34,,,NEW SCHOOL FOR SOCIAL RS,2,,,True
Columbia University,Manhattan,1885,24,,,COLUMBIA UNIV IN NYCTR,2,DEED,,False
New York University,Brooklyn,53,1232,100,JAY STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,532,15,661,BROADWAY,NEW YORK UNIVERSITY,2,,,True
Fordham University,Bronx,3273,203,2533,CAMBRELENG AVENUE,FORDHAM UNIVERSTY,2,DEED,08/03/2009,True
The New School,Manhattan,577,71,,,NEW SCHOOL FOR SOCIAL RESEACH,1,,,True
Columbia University,Manhattan,1892,33,,,COLUMBIA UNIVERSITYIN THE CITY OF N.Y.,1,,,True
Columbia University,Manhattan,1882,54,,,COLUMBIA UNIV CITY NY TR,2,,,True
Columbia University,Manhattan,1210,33,,,TRUSTEES/COLUMBIA UNIVERSITY CITY OF NEW YORK,1,,,True
The New School,Manhattan,68,16,,,NEW SCHOOL UNIVERSITY,1,,,True
Columbia University,Bronx,5862,62,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,,,True
New York University,Manhattan,1373,1397,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,2110,45,,,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1882,1,,,COLUMBIA UNIV CITY NY TR,2,,,True
The New School,Manhattan,575,23,,,NEW SCHOOL SOCL RESEARCH,2,,,True
The New School,Manhattan,575,24,,,NEW SCHOOL SOCL RESEARCH,2,,,True
New York University,Manhattan,548,12,36,EAST 8TH   STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,,,False
New York University,Manhattan,548,9,13,UNIVERSITY PLACE,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,,,True
New York University,Bronx,2883,60,,,NEW YORK UNIVERSITY,1,,,True
St. John's University,Queens,6715,27,147-28,UNION TURNPIKE,ST JOHNS UNIVERSITY,2,DEEDO,08/10/2005,True
Columbia University,Brooklyn,1904,48,188,HALL STREET,COLUMBIA UNIVERSITY/TR,2,,,True
Fordham University,Manhattan,1132,22,160,WEST 60TH   STREET,FORDHAM UNIVERSITY,1,,,True
Fordham University,Manhattan,1132,21,165,WEST 60TH   STREET,FORDHAM UNIVERSITY,1,,,True
