parcel_key,corporationname,building_address,boro,block,lot,property_type
2-3228-34,NEW YORK UNIVERSITY,"206 WEST 180TH STREET, Bronx, NY",BRONX,3228,34,D1
2-3234-28,NEW YORK UNIVERSITY,"Block 3234 Lot 28, Bronx, NY",BRONX,3234,28,PA
2-3224-36,NEW YORK UNIVERSITY,"Block 3224 Lot 36, Bronx, NY",BRONX,3224,36,PA
2-3223-1,NEW YORK UNIVERSITY,"nan HALL OF FAME TERRACE, Bronx, NY",BRONX,3223,1,PA
2-3224-37,NEW YORK UNIVERSITY,"Block 3224 Lot 37, Bronx, NY",BRONX,3224,37,PA
2-3228-63,NEW YORK UNIVERSITY,"211 WEST 179 STREET, Bronx, NY",BRONX,3228,63,D1
2-3232-102,NEW YORK UNIVERSITY,"2186 CEDAR AVE, Bronx, NY",BRONX,3232,102,D2
2-3232-78,NEW YORK UNIVERSITY,"Block 3232 Lot 78, Bronx, NY",BRONX,3232,78,PA
2-3217-1,NEW YORK UNIVERSITY,"2180 ANDREWS AVENUE NORTH, Bronx, NY",BRONX,3217,1,OT
2-3224-41,NEW YORK UNIVERSITY,"Block 3224 Lot 41, Bronx, NY",BRONX,3224,41,PA
2-3232-108,NEW YORK UNIVERSITY,"Block 3232 Lot 108, Bronx, NY",BRONX,3232,108,PA
2-3217-6,NEW YORK UNIVERSITY,"2194 ANDREWS AVENUE NORTH, Bronx, NY",BRONX,3217,6,PA
2-3236-25,NEW YORK UNIVERSITY,"233 LANDING ROAD, Bronx, NY",BRONX,3236,25,PA
2-3224-7,NEW YORK UNIVERSITY,"Block 3224 Lot 7, Bronx, NY",BRONX,3224,7,PA
2-3220-35,NEW YORK UNIVERSITY,"Block 3220 Lot 35, Bronx, NY",BRONX,3220,35,PA
2-3224-42,NEW YORK UNIVERSITY,"Block 3224 Lot 42, Bronx, NY",BRONX,3224,42,PA
2-3232-70,NEW YORK UNIVERSITY,"Block 3232 Lot 70, Bronx, NY",BRONX,3232,70,PA
2-3224-46,NEW YORK UNIVERSITY,"Block 3224 Lot 46, Bronx, NY",BRONX,3224,46,PA
2-3224-44,NEW YORK UNIVERSITY,"Block 3224 Lot 44, Bronx, NY",BRONX,3224,44,PA
2-3224-39,NEW YORK UNIVERSITY,"Block 3224 Lot 39, Bronx, NY",BRONX,3224,39,PA
2-3232-110,NEW YORK UNIVERSITY,"Block 3232 Lot 110, Bronx, NY",BRONX,3232,110,PA
2-3228-33,NEW YORK UNIVERSITY,"1950 WEST  179 STREET, Bronx, NY",BRONX,3228,33,PA
2-3228-41,NEW YORK UNIVERSITY,"190 WEST 180 STREET, Bronx, NY",BRONX,3228,41,CR
2-3224-9,NEW YORK UNIVERSITY,"2195 ANDREWS AVENUE NORTH, Bronx, NY",BRONX,3224,9,PA
2-3224-1,NEW YORK UNIVERSITY,"Block 3224 Lot 1, Bronx, NY",BRONX,3224,1,PA
2-3228-62,NEW YORK UNIVERSITY,"207 WEST  179 STREET, Bronx, NY",BRONX,3228,62,PA
2-3217-4,NEW YORK UNIVERSITY,"2190 ANDREWS AVENUE NORTH, Bronx, NY",BRONX,3217,4,PA
1-35-13,COLUMBIA UNIVERSITY,"Block 35 Lot 13, Manhattan, NY",MANHATTAN,35,13,PA
1-35-14,COLUMBIA UNIVERSITY,"Block 35 Lot 14, Manhattan, NY",MANHATTAN,35,14,PA
1-35-24,COLUMBIA UNIVERSITY,"Block 35 Lot 24, Manhattan, NY",MANHATTAN,35,24,PA
1-35-27,COLUMBIA UNIVERSITY,"Block 35 Lot 27, Manhattan, NY",MANHATTAN,35,27,PA
1-35-25,COLUMBIA UNIVERSITY,"Block 35 Lot 25, Manhattan, NY",MANHATTAN,35,25,PA
1-35-23,COLUMBIA UNIVERSITY,"Block 35 Lot 23, Manhattan, NY",MANHATTAN,35,23,PA
1-35-22,COLUMBIA UNIVERSITY,"Block 35 Lot 22, Manhattan, NY",MANHATTAN,35,22,PA
2-2785-40,COLUMBIA UNIVERSITY,"280 EAST  170 STREET, Bronx, NY",BRONX,2785,40,PA
2-3221-36,NEW YORK UNIVERSITY,"1970 LORING PLACE SOUTH, Bronx, NY",BRONX,3221,36,D1
2-3221-37,NEW YORK UNIVERSITY,"154 WEST 180 STREET, Bronx, NY",BRONX,3221,37,D1
1-1891-42,COLUMBIA UNIVERSITY,"333 RIVERSIDE DRIVE, Manhattan, NY",MANHATTAN,1891,42,D3
1-173-1004,NEW YORK UNIVERSITY,"66 LEONARD STREET, Manhattan, NY",MANHATTAN,173,1004,SC
1-870-1112,THE NEW SCHOOL,"1 IRVING PLACE, Manhattan, NY",MANHATTAN,870,1112,SC
1-1893-1135,COLUMBIA UNIVERSITY,"610 CATHEDRAL PARKWAY, Manhattan, NY",MANHATTAN,1893,1135,SC
2-3273-102,FORDHAM UNIVERSITY,"401 EAST FORDHAM ROAD, Bronx, NY",BRONX,3273,102,PA
3-1918-100,PRATT INSTITUTE,"Block 1918 Lot 100, Brooklyn, NY",BROOKLYN,1918,100,PA
