buildingid,lat,lon,confidence,match_type
11175,40.728083,-73.988862,0.8,fallback
844924,40.727483,-73.997207,0.8,fallback
864764,40.740816,-73.973544,0.8,fallback
28810,40.730964,-73.994824,0.8,fallback
611,40.742403,-73.974931,0.8,fallback
864767,40.742409,-73.973526,0.8,fallback
11284,40.731865,-73.9958,0.8,fallback
9364,40.734966,-74.00374,0.8,fallback
2338,40.73162,-73.987986,0.8,fallback
805427,40.73138,-73.996496,0.8,fallback
8543,40.732107,-73.99194,0.8,fallback
805426,40.729667,-73.99623,0.8,fallback
29191,40.729769,-73.99477,0.8,fallback
302463,40.694464,-73.964513,0.8,fallback
396242,40.692651,-73.963435,0.8,fallback
222786,40.691226,-73.967907,0.8,fallback
365633,40.690333,-73.964078,0.8,fallback
830751,40.718026,-73.814972,0.8,fallback
830754,40.718047,-73.814895,0.8,fallback
830778,40.718188,-73.814459,0.8,fallback
830783,40.718249,-73.814169,0.8,fallback
891295,40.719588,-73.803581,0.8,fallback
556,40.733646,-73.981406,0.8,fallback
2903,40.73526,-73.994488,0.8,fallback
