CorporationName,building_address,business_address,RegistrationID,BuildingID,Boro,BoroID,Block,Lot,BIN,RegistrationContactID
TRUSTEES OF COLUMBIA UNIVERSITY,"531 WEST 113 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",127859,38080,MANHATTAN,1,1885,17,1057024.0,12785903
TRUSTEES OF COLUMBIA UNIVERSITY,"2874 BROADWAY, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",141093,7938,MANHATTAN,1,1883,59,1056988.0,14109303
TRUSTEES OF COLUMBIA UNIVERSITY,"539 WEST 112 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",101487,37991,MANHATTAN,1,1884,6,1056990.0,10148703
TRUSTEES OF COLUMBIA UNIVERSITY,"626 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",107696,38208,MANHATTAN,1,1895,72,1057357.0,10769603
"ST JOHNS UNIVERSITY, NEW YORK","147-06 UNION TURNPIKE, NEW YORK, NY, 11367","8000 UTOPIA PARKWAY, JAMAICA, NY 11439",428414,830751,QUEENS,4,6715,36,4463911.0,42841403
TRUSTEES OF COLUMBIA UNIVERSITY,"88 MORNINGSIDE DRIVE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102902,25574,MANHATTAN,1,1962,19,1059506.0,10290203
TRUSTEES OF COLUMBIA UNIVERSITY,"552 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",128704,38194,MANHATTAN,1,1885,57,1057047.0,12870403
NEW YORK UNIVERSITY,"67 3 AVENUE, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 7TH FL, NEW YORK, NY 10003",140688,2338,MANHATTAN,1,467,1,1006826.0,14068803
NEW YORK UNIVERSITY,"67 3 AVENUE, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 7TH FL, New York, NY 10003",140688,2338,MANHATTAN,1,467,1,1006826.0,14068804
TRUSTEE OF COLUMBIA UNIVERSITY,"1116 AMSTERDAM AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",121106,803999,MANHATTAN,1,1886,1,1082160.0,12110603
